country,video_count,total_views,total_likes,total_comments,avg_engagement_rate,top_video_title,top_video_views
AE,7250,22094788138,827205686,52148200,3.98,"Lose 100 LBs, Win $250,000!",149634573
AR,7250,17500207619,787220369,48394316,4.77,"Lose 100 LBs, Win $250,000!",149634573
AT,7249,11719376633,494611319,32706373,4.5,"Lose 100 LBs, Win $250,000!",139676511
AU,7350,24308516188,922841745,61742335,4.05,"Lose 100 LBs, Win $250,000!",146983148
AZ,7249,159071855565,3508002951,18417063,2.22,Squid Game Dalgona #shorts,232213121
BE,7250,195294632523,5806909935,41945260,2.99,HUMAN GLUE TRAP,222046566
BG,7250,146385613608,3365668300,18504343,2.31,Squid Game Dalgona #shorts,231570474
BH,7250,41198133353,1458358907,85222291,3.75,"Lose 100 LBs, Win $250,000!",159942564
BO,7250,23943553365,1041944389,62088420,4.61,"Lose 100 LBs, Win $250,000!",152023255
BR,7249,8601529444,384044658,23423740,4.74,"Lose 100 LBs, Win $250,000!",118824458
BY,7250,125079096505,3431868268,28879985,2.77,Squid Game Dalgona #shorts,231683023
CA,7350,18141179126,721122390,51369956,4.26,"Lose 100 LBs, Win $250,000!",127710832
CH,7250,142872918044,4515446986,38451074,3.19,Squid Game Dalgona #shorts,216219896
CL,7249,19513709106,870234141,52258389,4.73,"Lose 100 LBs, Win $250,000!",152023255
CO,7250,20718535137,916006859,53906633,4.68,"Lose 100 LBs, Win $250,000!",152023255
CR,7250,32353335058,1353132709,77395115,4.42,"Lose 100 LBs, Win $250,000!",154199180
CZ,7045,192451733603,5268629242,30113856,2.75,Slippery vs Sticky Stairs,253675618
DE,7250,9662509279,421991065,29617597,4.67,"Lose 100 LBs, Win $250,000!",127713711
DK,6988,212175747737,6739544791,51350506,3.2,Slippery vs Sticky Stairs,250374621
DO,7250,35214734296,1419412138,81679894,4.26,"Lose 100 LBs, Win $250,000!",154199180
DZ,7248,11892861585,475593144,31028508,4.26,"Lose 100 LBs, Win $250,000!",143966733
EC,7250,21860437422,963835528,56839886,4.67,"Lose 100 LBs, Win $250,000!",149634573
EE,7250,171852910505,5233998668,58498925,3.08,Too late,220191828
EG,7250,13763334316,550027608,34196330,4.24,"Lose 100 LBs, Win $250,000!",143966733
ES,7250,39845535631,1391020748,18832913,3.54,Squid Game Dalgona #shorts,171857989
FI,7250,152573023310,4827632704,35899215,3.19,Squid Game Dalgona #shorts,224634694
FR,7249,8877304139,457877474,26278508,5.45,"Lose 100 LBs, Win $250,000!",127747883
GB,7350,15500877938,616495064,43814857,4.26,"Lose 100 LBs, Win $250,000!",127752426
GR,7250,165597324557,4392096666,28250643,2.67,Squid Game Dalgona #shorts,231401710
GT,7250,25024335069,1088974912,63415636,4.61,"Lose 100 LBs, Win $250,000!",149638846
HK,7249,58803351768,1723706973,28126624,2.98,Squid Game Dalgona #shorts,211793078
HN,7250,34159634496,1389840251,79129201,4.3,"Lose 100 LBs, Win $250,000!",152023291
HR,7250,159963845619,4158778612,27377970,2.62,Squid Game Dalgona #shorts,231571617
HU,7250,129257593245,3542251159,22524150,2.76,Squid Game Dalgona #shorts,230958033
ID,7249,13607825500,537290434,43847839,4.27,"Lose 100 LBs, Win $250,000!",139676511
IE,7250,147964204465,5235467984,62170790,3.58,Too late,226022116
IL,7250,190136666623,4688231012,29287498,2.48,Too late,231591127
IN,7350,21997431993,699159476,37318905,3.35,"Lose 100 LBs, Win $250,000!",118824458
IQ,7250,15228032750,613611323,38631212,4.28,"Lose 100 LBs, Win $250,000!",143966733
IS,7250,129563612797,4834472461,81206019,3.79,Squid Game Dalgona #shorts,232058613
IT,7250,52775548885,1547610248,13363982,2.96,Squid Game Dalgona #shorts,211814095
JM,7250,172306245327,4993279353,27827778,2.91,Too late,231591127
JO,7249,18069993882,714480088,42217208,4.19,"Lose 100 LBs, Win $250,000!",149642638
JP,7247,7106972504,258766764,17661490,3.89,"Lose 100 LBs, Win $250,000!",118824458
KE,7250,167474970144,4157307642,30156262,2.5,Too late,231591127
KR,7200,10236835913,334183272,27421683,3.53,"Lose 100 LBs, Win $250,000!",143966733
KW,7250,23520263346,873601453,53653298,3.94,"Lose 100 LBs, Win $250,000!",149643723
KZ,7250,192271686234,4415929956,12837965,2.3,Too late,220192378
LB,7200,32228320295,1192126654,68977830,3.91,"Lose 100 LBs, Win $250,000!",159942564
LT,7250,168990738644,4639188343,34743160,2.77,Squid Game Dalgona #shorts,216219896
LU,7250,259555850942,7863663067,80323151,3.06,HUMAN GLUE TRAP,316012253
LV,7250,164262855898,4695019750,44961243,2.89,Too late,220192378
LY,7250,17355591270,691293837,40956491,4.22,"Lose 100 LBs, Win $250,000!",149643723
MA,7248,13408830646,520888173,32769237,4.13,"Lose 100 LBs, Win $250,000!",146991446
ME,7250,138771785597,3145408318,18345207,2.28,Squid Game Dalgona #shorts,216219896
MK,7250,166909565102,3711075710,20997401,2.24,Squid Game Dalgona #shorts,216219896
MT,7248,233643142258,7383348351,92658152,3.2,Too late,290009096
MX,7250,17038010388,778184012,46702353,4.84,"Lose 100 LBs, Win $250,000!",139676511
MY,7231,282544372568,7063266280,29621040,2.51,Too late,241708189
NG,7250,93948472458,2655709437,26705254,2.86,Squid Game Dalgona #shorts,229499700
NL,7250,138963939614,4471864101,40416894,3.25,Squid Game Dalgona #shorts,216219896
NO,7250,201991317731,6940475295,56242402,3.46,HUMAN GLUE TRAP,254431458
NZ,7250,187662443766,6784721989,71159293,3.65,Too late,251736889
OM,7250,25018074009,932743458,55919359,3.95,"Lose 100 LBs, Win $250,000!",154201809
PA,7250,41385191832,1675523483,94584744,4.28,"Lose 100 LBs, Win $250,000!",154201809
PE,7250,19918866404,890535925,53411373,4.74,"Lose 100 LBs, Win $250,000!",152030873
PH,7250,171882872378,4298781334,23227965,2.51,Too late,214386930
PK,7250,237699175594,5324918028,15747887,2.25,Too late,273229532
PL,7250,74543888235,2252080799,20812917,3.05,Squid Game Dalgona #shorts,220867929
PT,7250,232152281139,6541945865,43124621,2.84,HUMAN GLUE TRAP,282412134
PY,7250,28816665550,1210390723,71411041,4.45,"Lose 100 LBs, Win $250,000!",156106055
QA,7249,34000454560,1233350864,74016302,3.85,"Lose 100 LBs, Win $250,000!",159942564
RO,7250,133289652423,3178223993,21142502,2.4,Squid Game Dalgona #shorts,231571617
RS,7250,135774901664,3255342029,19205018,2.41,Squid Game Dalgona #shorts,231401710
RU,7250,13459697449,496889834,13577552,3.79,"Lose 100 LBs, Win $250,000!",105484493
SA,7249,16151087077,626622330,39466075,4.12,"Lose 100 LBs, Win $250,000!",143966733
SE,7250,174077934573,5642072729,47514714,3.27,Too late,220193617
SG,7250,148354014825,5194811974,67797749,3.55,Squid Game Dalgona #shorts,211814095
SI,7250,191661042838,5202050571,37690986,2.73,Too late,220193617
SK,7250,172587196954,4435460244,25275425,2.58,Squid Game Dalgona #shorts,231401710
SN,7249,170820836279,3376491772,9925719,1.98,Squid Game Dalgona #shorts,232530424
SV,7250,261663768320,7079993435,33708390,2.72,Too late,265482432
TH,7250,34956491226,937591916,13769029,2.72,Squid Game Dalgona #shorts,171965510
TN,7250,22998836328,873516478,52178586,4.02,"Lose 100 LBs, Win $250,000!",149643723
TR,7250,80259374770,2021229578,22183348,2.55,Squid Game Dalgona #shorts,211814095
TW,7236,23861613571,661768827,12846244,2.83,Squid Game Dalgona #shorts,207032985
UA,7250,74091271807,2064082058,19097512,2.81,Squid Game Dalgona #shorts,211814095
US,7349,15885663610,656270026,46927407,4.43,"Lose 100 LBs, Win $250,000!",127752689
UY,7250,25393026819,1075206377,63609659,4.48,"Lose 100 LBs, Win $250,000!",158020580
VE,7249,24285340778,1045975373,61307417,4.56,"Lose 100 LBs, Win $250,000!",152030873
VN,7249,183345688994,4027776570,21908592,2.21,Too late,265482432
YE,7250,20212890480,769653287,44293820,4.03,"Lose 100 LBs, Win $250,000!",149644321
ZA,7250,226277427886,6531967364,37002761,2.9,Too late,256631752
